,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,type,uri,valence,billboard
2946,0.948,https://api.spotify.com/v1/audio-analysis/3ckAdS5vKoGwWc5lds4Xm0,Shunza,0.436,142125.0,0.381,3ckAdS5vKoGwWc5lds4Xm0,0.0176,0.0,0.113,-10.92,1.0,0.0425,88.16,4.0,https://api.spotify.com/v1/tracks/3ckAdS5vKoGwWc5lds4Xm0,Dear Friend,audio_features,spotify:track:3ckAdS5vKoGwWc5lds4Xm0,0.331,0
2947,0.6459999999999999,https://api.spotify.com/v1/audio-analysis/15h2cWbzZJVgpMDZDsqBdn,Showbread,0.7240000000000001,201173.0,0.649,15h2cWbzZJVgpMDZDsqBdn,0.8390000000000001,7.0,0.0529,-9.205,1.0,0.028999999999999998,122.294,4.0,https://api.spotify.com/v1/tracks/15h2cWbzZJVgpMDZDsqBdn,The Pig,audio_features,spotify:track:15h2cWbzZJVgpMDZDsqBdn,0.479,0
2948,0.00465,https://api.spotify.com/v1/audio-analysis/0VE4kBnHJUgtMf0dy6DRmW,KRS-One,0.562,233627.0,0.6890000000000001,0VE4kBnHJUgtMf0dy6DRmW,2.23e-06,2.0,0.0888,-6.745,1.0,0.127,172.054,4.0,https://api.spotify.com/v1/tracks/0VE4kBnHJUgtMf0dy6DRmW,Getaway,audio_features,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,0.35100000000000003,0
2949,0.00861,https://api.spotify.com/v1/audio-analysis/0eIi4cX6qhWxUmnMH7MfzW,Tim Exile,0.6709999999999999,187217.0,0.938,0eIi4cX6qhWxUmnMH7MfzW,0.7090000000000001,5.0,0.11199999999999999,-2.299,0.0,0.129,150.009,4.0,https://api.spotify.com/v1/tracks/0eIi4cX6qhWxUmnMH7MfzW,Family Galaxy,audio_features,spotify:track:0eIi4cX6qhWxUmnMH7MfzW,0.324,0
2950,0.00237,https://api.spotify.com/v1/audio-analysis/4aWiSPB2zUgIwzYcLXEL0K,Kommunity FK,0.35700000000000004,156480.0,0.98,4aWiSPB2zUgIwzYcLXEL0K,0.0,6.0,0.519,-5.3260000000000005,0.0,0.198,104.00299999999999,4.0,https://api.spotify.com/v1/tracks/4aWiSPB2zUgIwzYcLXEL0K,Junkies 1984,audio_features,spotify:track:4aWiSPB2zUgIwzYcLXEL0K,0.316,0
2951,0.8640000000000001,https://api.spotify.com/v1/audio-analysis/2caREKLVN9PbVDe9EPzXjc,The Tempos,0.519,147227.0,0.42200000000000004,2caREKLVN9PbVDe9EPzXjc,0.0,4.0,0.332,-8.732000000000001,1.0,0.0282,128.95600000000002,4.0,https://api.spotify.com/v1/tracks/2caREKLVN9PbVDe9EPzXjc,See You In September,audio_features,spotify:track:2caREKLVN9PbVDe9EPzXjc,0.8029999999999999,1
2952,0.8809999999999999,https://api.spotify.com/v1/audio-analysis/5ueyLj6e6oVaTY0KQ6yLaA,Smidi Beats,0.624,117080.0,0.46799999999999997,5ueyLj6e6oVaTY0KQ6yLaA,6.35e-06,10.0,0.14400000000000002,-12.162,1.0,0.132,74.139,4.0,https://api.spotify.com/v1/tracks/5ueyLj6e6oVaTY0KQ6yLaA,All Shook Up,audio_features,spotify:track:5ueyLj6e6oVaTY0KQ6yLaA,0.9520000000000001,0
2953,0.887,https://api.spotify.com/v1/audio-analysis/6mYPv9BV0ElQ39oPCaxghe,"MichA""le Arnaud",0.408,197307.0,0.3,6mYPv9BV0ElQ39oPCaxghe,0.0,3.0,0.131,-8.693999999999999,0.0,0.0333,118.92200000000001,4.0,https://api.spotify.com/v1/tracks/6mYPv9BV0ElQ39oPCaxghe,Marie D'Aquitaine,audio_features,spotify:track:6mYPv9BV0ElQ39oPCaxghe,0.326,0
2954,0.262,https://api.spotify.com/v1/audio-analysis/7ySstm0DMqIbnVRzqbJTVm,Mazz,0.7829999999999999,234382.0,0.631,7ySstm0DMqIbnVRzqbJTVm,0.000525,7.0,0.0417,-7.956,1.0,0.0473,103.76,4.0,https://api.spotify.com/v1/tracks/7ySstm0DMqIbnVRzqbJTVm,Con La Tinta De Mi Sangre,audio_features,spotify:track:7ySstm0DMqIbnVRzqbJTVm,0.948,0
2955,0.00314,https://api.spotify.com/v1/audio-analysis/5jrdCoLpJSvHHorevXBATy,Converge,0.645,215672.0,0.585,5jrdCoLpJSvHHorevXBATy,0.0,6.0,0.165,-6.122000000000001,1.0,0.0513,131.931,4.0,https://api.spotify.com/v1/tracks/5jrdCoLpJSvHHorevXBATy,Dark Horse,audio_features,spotify:track:5jrdCoLpJSvHHorevXBATy,0.353,0
2956,0.882,https://api.spotify.com/v1/audio-analysis/6zsZUmX3J9KPd5FxtEX8zT,Pat Metheny / Charlie Haden,0.47100000000000003,372533.0,0.0352,6zsZUmX3J9KPd5FxtEX8zT,0.887,7.0,0.11699999999999999,-22.855999999999998,1.0,0.0392,101.075,4.0,https://api.spotify.com/v1/tracks/6zsZUmX3J9KPd5FxtEX8zT,Message To A Friend,audio_features,spotify:track:6zsZUmX3J9KPd5FxtEX8zT,0.0961,0
2957,0.00406,https://api.spotify.com/v1/audio-analysis/5aCw154D6B11FpDp9HbBYh,Frankie Ford,0.278,365693.0,0.875,5aCw154D6B11FpDp9HbBYh,0.0005070000000000001,7.0,0.41100000000000003,-6.62,1.0,0.124,75.866,4.0,https://api.spotify.com/v1/tracks/5aCw154D6B11FpDp9HbBYh,Sea Cruise,audio_features,spotify:track:5aCw154D6B11FpDp9HbBYh,0.153,1
